,ce_ltp,strike,pe_ltp,futures_price,sigma_ce,delta_ce,gamma_ce,theta_ce,vega_ce,premia_ce,sigma_pe,delta_pe,gamma_pe,theta_pe,vega_pe,premia_pe
0,2898.85,43200.0,9.25,46089.6,0.3420368134664866,0.9822893600336501,3.054904212627622e-05,-10.399831881103903,1.8243355343601746,2898.85,0.34203681346647913,-0.01771063996634786,3.054904212627395e-05,-10.399831881102674,1.824335534359999,9.25
1,2860.0,43300.0,7.8,46152.2,0.32933898767928144,0.9842799721434323,2.8611143220687735e-05,-9.05489585454443,1.6496490594722388,2860.0,0.3293389876792639,-0.01572002785656316,2.8611143220682283e-05,-9.05489585454174,1.6496490594718367,7.800000000000007
2,2858.4,43400.0,10.25,46248.15,0.3417293978658789,0.9806390747585444,3.2873256970111214e-05,-11.247947668081991,1.9748867504509913,2858.4,0.3417293978658857,-0.019360925241457504,3.287325697011328e-05,-11.247947668083139,1.974886750451154,10.249999999999982
3,2655.0,43500.0,9.8,46145.2,0.3187794313472378,0.9801592452747868,3.6060454444826846e-05,-10.68912076716363,2.0118840268938674,2655.0,0.3187794313472234,-0.01984075472520881,3.6060454444821655e-05,-10.689120767161127,2.0118840268934868,9.800000000000006
4,2560.85,43600.0,8.0,46152.85,0.29964562678142975,0.9824926146638914,3.44816728015319e-05,-9.03396498006643,1.808929783578534,2560.85,0.29964562678142226,-0.017507385336106435,3.448167280152898e-05,-9.033964980065214,1.8089297835783356,7.999999999999994
5,2460.0,43700.0,11.05,46148.95,0.30364338541752595,0.9769512544687069,4.296871179866139e-05,-11.55794894727246,2.2838532638633957,2460.0,0.3036433854175132,-0.0230487455312886,4.296871179865609e-05,-11.557948947270061,2.283853263863018,11.049999999999978
6,2355.95,43800.0,12.8,46143.149999999994,0.2993829075102897,0.9734219047784903,4.911879404714876e-05,-12.840836504817643,2.5734608454979297,2355.95,0.2993829075102678,-0.026578095221501057,4.911879404713913e-05,-12.840836504813245,2.573460845497237,12.799999999999999
7,2287.1,43900.0,13.9,46173.2,0.29557544737070807,0.9711125485230903,5.3293998661221074e-05,-13.597908229437474,2.760291834196181,2287.1,0.2955754473706978,-0.028887451476905492,5.329399866121639e-05,-13.597908229435337,2.7602918341958422,13.899999999999986
8,2170.6,44000.0,15.55,46155.049999999996,0.28811395695244824,0.9673861406289276,6.047608143744475e-05,-14.649669560132631,3.0508073364631527,2170.6,0.2881139569524342,-0.03261385937106598,6.0476081437437836e-05,-14.64966956012953,3.0508073364626553,15.550000000000002
9,2071.45,44100.0,17.45,46154.0,0.2824942037368957,0.9632994364924867,6.796106271407382e-05,-15.826142627088734,3.3613735965702,2071.45,0.2824942037368964,-0.036700563507513634,6.79610627140742e-05,-15.826142627088895,3.361373596570226,17.450000000000003
10,1980.4,44200.0,19.25,46161.15,0.27677271542942433,0.9593087412906511,7.544038083295829e-05,-16.868668388617753,3.656863725698969,1980.4,0.276772715429428,-0.040691258709350815,7.544038083296024e-05,-16.868668388618634,3.6568637256991114,19.24999999999998
11,1877.45,44300.0,19.65,46157.799999999996,0.2656839814909973,0.9570645929721626,8.208682878920998e-05,-16.911088484213955,3.8190684412308817,1877.45,0.2656839814909857,-0.04293540702783061,8.208682878920313e-05,-16.91108848421107,3.819068441230397,19.64999999999997
12,1780.25,44400.0,23.05,46157.2,0.2619957943780169,0.9501139597242045,9.390105957191218e-05,-18.81114296077919,4.307964485942351,1780.25,0.26199579437801,-0.049886040275791056,9.390105957190804e-05,-18.811142960777374,4.3079644859420485,23.049999999999972
13,1681.95,44500.0,24.55,46157.399999999994,0.2531379508338683,0.9457418104565516,0.00010389437733950818,-19.42971273593967,4.605325911488755,1681.95,0.2531379508338556,-0.05425818954343959,0.00010389437733950005,-19.4297127359362,4.605325911488164,24.54999999999999
14,1584.95,44600.0,27.25,46157.7,0.24630488456229868,0.9392563592635067,0.00011669456941757153,-20.661514635433495,5.033155880481334,1584.95,0.24630488456229285,-0.060743640736488934,0.00011669456941756772,-20.661514635431836,5.03315588048105,27.250000000000018
15,1492.55,44700.0,30.25,46162.3,0.23981726684562776,0.9320756146333151,0.0001307115391661771,-21.944558352473873,5.490319852556678,1492.55,0.2398172668456332,-0.06792438536668925,0.0001307115391661806,-21.94455835247545,5.490319852556949,30.249999999999975
16,1392.0,44800.0,34.45,46157.55,0.2333984144670665,0.9223976681820292,0.00014874574559111043,-23.64846701486586,6.079338731292735,1392.0,0.23339841446707124,-0.07760233181797498,0.00014874574559111344,-23.648467014867297,6.079338731292981,34.44999999999994
17,1295.1,44900.0,40.5,46154.6,0.22888553048544608,0.9096280200290231,0.0001700764028408742,-26.000868928043186,6.815861764497992,1295.1,0.22888553048544405,-0.09037197997097504,0.0001700764028408731,-26.000868928042564,6.815861764497887,40.499999999999986
18,1205.3,45000.0,47.3,46158.0,0.2247846518340352,0.895615807561312,0.00019248690403332684,-28.386091735241394,7.576876313477035,1205.3,0.22478465183403534,-0.10438419243868811,0.00019248690403332684,-28.38609173524142,7.5768763134770385,47.30000000000004
19,1110.8,45100.0,53.25,46157.55,0.21772295144725284,0.8818184615364294,0.00021720749494634557,-30.05009645568393,8.28119302699167,1110.8,0.2177229514472564,-0.11818153846357438,0.00021720749494634692,-30.050096455685093,8.281193026991856,53.24999999999999
20,1024.2,45200.0,64.55,46159.649999999994,0.21579061696691634,0.8607436444862804,0.00024558262422123627,-33.378353009513454,9.2807611782205,1024.2,0.21579061696691007,-0.13925635551371274,0.0002455826242212352,-33.378353009511365,9.28076117822019,64.54999999999997
21,928.35,45300.0,75.75,46152.6,0.21032540800430066,0.8382803358286153,0.00027841459894196633,-35.93726053308199,10.251902765550938,928.35,0.21032540800429925,-0.16171966417138314,0.0002784145989419665,-35.93726053308151,10.251902765550874,75.75000000000003
22,834.2,45400.0,88.0,46146.2,0.2040530113812024,0.8134002044837334,0.00031435675922332506,-38.18192740326677,11.227061187135451,834.2,0.20405301138119974,-0.18659979551626357,0.00031435675922332593,-38.18192740326587,11.227061187135334,87.99999999999999
